;WEEK_PRI;YEAR_PRI;CASES
0;01;2018;1
1;01;2020;1
2;01;2021;15
3;01;2022;4
4;01;2023;3
5;01;2024;3
6;02;2017;1
7;02;2018;1
8;02;2021;19
9;02;2022;2
10;02;2023;3
11;02;2024;1
12;03;2016;1
13;03;2021;41
14;03;2022;4
15;03;2023;1
16;03;2024;2
17;04;2020;1
18;04;2021;44
19;04;2022;2
20;04;2024;1
21;05;2016;4
22;05;2020;1
23;05;2021;136
24;05;2022;4
25;05;2023;1
26;05;2024;1
27;06;2016;2
28;06;2021;180
29;06;2022;4
30;06;2023;2
31;06;2024;2
32;07;2016;1
33;07;2020;1
34;07;2021;265
35;07;2022;7
36;07;2023;3
37;07;2024;9
38;08;2016;1
39;08;2019;1
40;08;2020;2
41;08;2021;238
42;08;2022;6
43;08;2023;1
44;08;2024;7
45;09;2016;2
46;09;2019;2
47;09;2020;1
48;09;2021;430
49;09;2022;5
50;09;2023;1
51;09;2024;7
52;10;2020;3
53;10;2021;510
54;10;2022;3
55;10;2023;2
56;10;2024;6
57;11;2019;2
58;11;2020;1
59;11;2021;555
60;11;2022;4
61;11;2023;5
62;11;2024;2
63;12;2016;3
64;12;2019;2
65;12;2020;2
66;12;2021;587
67;12;2022;8
68;12;2023;8
69;12;2024;1
70;13;2019;1
71;13;2021;685
72;13;2022;7
73;13;2023;2
74;13;2024;3
75;14;2019;2
76;14;2020;2
77;14;2021;637
78;14;2022;10
79;14;2023;4
80;14;2024;7
81;15;2016;2
82;15;2020;1
83;15;2021;479
84;15;2022;9
85;15;2024;3
86;16;2016;1
87;16;2017;3
88;16;2019;1
89;16;2021;417
90;16;2022;9
91;16;2023;3
92;16;2024;1
93;17;2017;1
94;17;2018;1
95;17;2020;1
96;17;2021;331
97;17;2022;13
98;17;2024;2
99;18;2016;1
100;18;2017;1
101;18;2019;1
102;18;2020;3
103;18;2021;258
104;18;2022;18
105;18;2024;1
106;19;2016;3
107;19;2020;3
108;19;2021;183
109;19;2022;16
110;19;2023;1
111;20;2016;1
112;20;2019;1
113;20;2020;7
114;20;2021;142
115;20;2022;20
116;21;2020;3
117;21;2021;97
118;21;2022;24
119;22;2017;1
120;22;2018;2
121;22;2019;1
122;22;2020;2
123;22;2021;70
124;22;2022;17
125;22;2023;1
126;23;2016;2
127;23;2018;1
128;23;2019;2
129;23;2020;5
130;23;2021;75
131;23;2022;10
132;24;2017;3
133;24;2020;9
134;24;2021;39
135;24;2022;7
136;25;2016;1
137;25;2020;4
138;25;2021;28
139;25;2022;9
140;26;2016;1
141;26;2017;2
142;26;2020;3
143;26;2021;27
144;26;2022;4
145;27;2016;1
146;27;2019;1
147;27;2020;4
148;27;2021;21
149;27;2022;6
150;28;2020;3
151;28;2021;13
152;28;2022;8
153;29;2017;1
154;29;2018;1
155;29;2020;1
156;29;2021;12
157;29;2022;5
158;30;2016;1
159;30;2020;5
160;30;2021;11
161;30;2022;5
162;30;2023;2
163;31;2016;2
164;31;2020;7
165;31;2021;8
166;31;2022;2
167;32;2021;8
168;32;2022;5
169;32;2023;1
170;33;2016;1
171;33;2017;1
172;33;2020;2
173;33;2021;7
174;33;2022;5
175;34;2018;1
176;34;2020;4
177;34;2021;6
178;34;2022;2
179;35;2018;1
180;35;2020;5
181;35;2021;1
182;35;2022;3
183;36;2020;1
184;36;2021;13
185;36;2022;3
186;37;2017;1
187;37;2018;1
188;37;2020;1
189;37;2021;3
190;37;2022;1
191;37;2023;1
192;38;2021;3
193;38;2022;4
194;39;2017;1
195;39;2020;2
196;39;2021;9
197;39;2022;4
198;40;2020;1
199;40;2021;4
200;40;2022;4
201;41;2020;1
202;41;2021;1
203;41;2022;7
204;42;2020;1
205;42;2021;7
206;42;2022;4
207;43;2021;6
208;43;2022;3
209;44;2017;1
210;44;2020;2
211;44;2021;1
212;44;2022;2
213;45;2016;1
214;45;2020;2
215;45;2021;3
216;45;2022;5
217;46;2020;4
218;46;2021;4
219;46;2022;6
220;47;2020;5
221;47;2021;6
222;47;2022;4
223;48;2020;5
224;48;2021;8
225;48;2022;4
226;49;2020;6
227;49;2021;13
228;49;2022;3
229;50;2015;1
230;50;2017;1
231;50;2021;10
232;50;2023;2
233;51;2020;2
234;51;2021;3
235;52;2015;1
236;52;2019;1
237;52;2020;4
238;52;2021;4
239;53;2020;2
