;WEEK_PRI;YEAR_PRI;CASES
0;01;2015;1
1;01;2016;6
2;01;2017;1
3;01;2018;4
4;01;2019;1
5;01;2022;7
6;01;2023;16
7;01;2024;4
8;02;2016;7
9;02;2017;2
10;02;2018;4
11;02;2019;1
12;02;2021;1
13;02;2022;2
14;02;2023;18
15;02;2024;4
16;03;2016;13
17;03;2017;5
18;03;2018;1
19;03;2020;1
20;03;2022;6
21;03;2023;20
22;03;2024;6
23;04;2016;10
24;04;2017;4
25;04;2019;2
26;04;2022;5
27;04;2023;14
28;04;2024;7
29;05;2016;10
30;05;2017;6
31;05;2018;4
32;05;2019;1
33;05;2022;2
34;05;2023;5
35;05;2024;6
36;06;2016;13
37;06;2017;5
38;06;2018;1
39;06;2022;4
40;06;2023;4
41;06;2024;6
42;07;2016;8
43;07;2017;5
44;07;2018;1
45;07;2020;1
46;07;2021;2
47;07;2022;2
48;07;2023;9
49;07;2024;10
50;08;2016;10
51;08;2018;3
52;08;2019;1
53;08;2021;1
54;08;2022;3
55;08;2023;7
56;08;2024;2
57;09;2016;11
58;09;2017;5
59;09;2018;1
60;09;2019;1
61;09;2021;4
62;09;2022;6
63;09;2023;12
64;09;2024;2
65;10;2016;7
66;10;2017;6
67;10;2018;2
68;10;2019;2
69;10;2020;1
70;10;2021;7
71;10;2022;4
72;10;2023;7
73;10;2024;7
74;11;2016;3
75;11;2017;3
76;11;2018;1
77;11;2021;9
78;11;2022;3
79;11;2023;10
80;11;2024;2
81;12;2016;4
82;12;2019;1
83;12;2021;9
84;12;2022;3
85;12;2023;8
86;12;2024;3
87;13;2016;5
88;13;2017;3
89;13;2018;3
90;13;2021;10
91;13;2022;4
92;13;2023;2
93;13;2024;1
94;14;2016;3
95;14;2017;2
96;14;2018;2
97;14;2019;4
98;14;2021;11
99;14;2022;1
100;14;2023;6
101;14;2024;1
102;15;2016;2
103;15;2017;7
104;15;2018;1
105;15;2019;1
106;15;2021;16
107;15;2023;7
108;16;2016;4
109;16;2017;6
110;16;2018;2
111;16;2021;3
112;16;2022;2
113;16;2023;6
114;17;2016;2
115;17;2017;5
116;17;2018;1
117;17;2019;5
118;17;2021;8
119;17;2022;6
120;17;2023;1
121;18;2016;2
122;18;2017;5
123;18;2018;2
124;18;2019;1
125;18;2021;3
126;18;2022;2
127;18;2023;4
128;18;2024;1
129;19;2016;1
130;19;2017;6
131;19;2018;1
132;19;2019;1
133;19;2020;2
134;19;2021;12
135;19;2022;3
136;19;2023;4
137;19;2024;1
138;20;2016;2
139;20;2017;9
140;20;2019;3
141;20;2021;5
142;20;2022;4
143;20;2023;2
144;20;2024;2
145;21;2016;3
146;21;2017;5
147;21;2019;1
148;21;2021;3
149;21;2022;2
150;21;2023;4
151;21;2024;1
152;22;2016;4
153;22;2017;4
154;22;2019;1
155;22;2020;1
156;22;2021;3
157;22;2022;2
158;22;2023;1
159;23;2016;3
160;23;2017;1
161;23;2018;2
162;23;2019;3
163;23;2021;2
164;23;2022;1
165;23;2023;1
166;24;2016;3
167;24;2017;1
168;24;2018;4
169;24;2019;2
170;24;2021;5
171;24;2022;5
172;24;2023;2
173;25;2016;4
174;25;2017;6
175;25;2019;3
176;25;2020;1
177;25;2021;5
178;25;2022;4
179;25;2023;2
180;26;2016;6
181;26;2017;1
182;26;2018;1
183;26;2019;2
184;26;2020;1
185;26;2022;4
186;26;2023;3
187;27;2016;2
188;27;2017;2
189;27;2018;5
190;27;2020;1
191;27;2021;1
192;27;2022;4
193;27;2023;2
194;28;2016;3
195;28;2017;5
196;28;2018;2
197;28;2019;2
198;28;2021;3
199;28;2022;6
200;28;2023;2
201;29;2016;1
202;29;2017;3
203;29;2019;2
204;29;2021;2
205;29;2022;5
206;30;2017;3
207;30;2019;1
208;30;2021;2
209;30;2022;3
210;31;2016;1
211;31;2017;3
212;31;2020;1
213;31;2022;5
214;32;2017;2
215;32;2019;1
216;32;2022;2
217;32;2023;1
218;33;2018;1
219;33;2020;1
220;33;2022;1
221;34;2016;1
222;34;2017;1
223;34;2018;4
224;34;2019;1
225;34;2020;2
226;34;2021;2
227;34;2022;3
228;34;2023;1
229;35;2016;1
230;35;2018;1
231;35;2019;1
232;36;2016;3
233;36;2017;3
234;36;2021;1
235;36;2022;2
236;36;2023;1
237;37;2016;1
238;37;2017;1
239;37;2021;1
240;37;2023;1
241;38;2017;1
242;38;2022;1
243;39;2016;1
244;39;2017;1
245;39;2021;2
246;40;2016;2
247;40;2017;1
248;40;2018;1
249;40;2021;1
250;40;2023;1
251;41;2016;2
252;41;2017;1
253;41;2020;1
254;42;2016;1
255;42;2017;3
256;42;2018;2
257;42;2021;2
258;43;2016;2
259;43;2017;3
260;43;2018;2
261;43;2022;1
262;44;2016;2
263;44;2017;1
264;44;2018;1
265;44;2022;1
266;45;2016;1
267;45;2017;1
268;45;2019;1
269;46;2015;1
270;46;2016;3
271;46;2017;1
272;46;2021;3
273;47;2015;3
274;47;2016;2
275;47;2017;2
276;47;2018;1
277;47;2021;1
278;47;2022;1
279;48;2015;3
280;48;2016;1
281;48;2017;4
282;48;2021;3
283;48;2023;2
284;49;2015;3
285;49;2016;3
286;49;2017;1
287;49;2018;1
288;49;2020;1
289;49;2023;3
290;50;2016;4
291;50;2017;3
292;50;2019;1
293;50;2020;1
294;50;2023;3
295;51;2015;1
296;51;2016;4
297;51;2017;3
298;51;2022;3
299;51;2023;1
300;52;2015;8
301;52;2016;1
302;52;2017;1
303;52;2022;1
